"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"50",54,"UNI04","Full-time","Other (Please specify)","Final Year","4","Psychology (with a Year Abroad)","No","Female","Non-UKRN",1,3,3,4,3,1,1,3,3,21,21,1,1,0,0,0,1
"51",55,"UNI04","Full-time","No","Final Year","3","BSc Psychology","Yes","Female","Non-UKRN",1,3,1,3,1,1,1,2,3,15,15,1,1,1,0,0,1
"52",56,"UKRN07","Full-time","No","Final Year","3","BSc Psychology (Hons) ","Yes","Female ","UKRN",1,3,2,3,3,1,1,3,3,19,19,1,1,1,1,1,1
"53",57,"UNI04","Full-time","Yes","Year 2","4","BSc Psychology with Placement Year","No","Male","Non-UKRN",1,4,3,2,3,3,3,3,3,24,24,1,1,0,0,0,1
"54",58,"UKRN02","Full-time","Yes","Year 1","4","Psychology with counselling","Yes","Female","UKRN",1,3,1,1,0,0,1,3,2,11,11,1,0,1,0,1,1
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",60,"UNI11","Full-time","No","Final Year","3","Psychology and child development ","Yes","Female","Non-UKRN",1,4,4,4,1,1,1,3,3,21,21,1,1,0,0,0,1
"57",61,"UNI11","Full-time","No","Final Year","3","Bsc Psychology ","Yes","Female","Non-UKRN",1,3,3,3,1,1,3,3,1,18,18,1,1,1,0,0,1
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",64,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","Female","Non-UKRN",1,3,2,3,1,3,3,3,2,20,20,1,0,1,0,0,1
"61",65,"UNI11","Full-time","No","Year 1","3","Psychology with child development ","Yes","Female","Non-UKRN",1,3,3,2,0,1,2,1,2,14,14,1,1,0,0,0,1
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",68,"UNI11","Full-time","No","Year 1","3","Psychology","Yes","Female","Non-UKRN",1,3,3,4,1,0,3,3,4,21,21,1,1,1,0,0,1
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",70,"UNI11","Full-time","No","Year 2","3","BSc Psychology ","Yes","Female","Non-UKRN",1,4,4,4,4,3,4,3,3,29,29,1,1,1,1,1,1
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",72,"UNI11","Full-time","No","Year 1","3","psychology ","Yes","female","Non-UKRN",1,3,3,3,2,0,0,3,3,17,17,1,1,1,0,0,1
