"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
830,"UNI68","Full-time","Yes","Placement Year","4","Psychology with Criminology (with professional placement year)","Yes","Female ","Non-UKRN",1,1,0,1,1,0,0,0,1,4,0,NA,NA,0,0,1
831,"UNI68","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","Non-UKRN",1,1,1,1,0,0,1,0,0,4,1,1,1,0,0,1
832,"UNI68","Full-time","No","Final Year","4","Psychology","Yes","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1
833,"UNI68","Full-time","No","Year 2","3","BSc Psychology","No","Female","Non-UKRN",1,1,1,1,0,1,1,0,1,6,1,1,0,0,0,1
834,"UNI68","Full-time","No","Year 2","3","Psychology with clinical approaches","No","Female","Non-UKRN",1,1,1,0,1,1,1,0,0,5,0,NA,NA,0,0,1
835,"UNI68","Full-time","No","Year 2","3","Psychology","Yes","Female ","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,1,1,0,0,1
836,"UNI68","Full-time","No","Final Year","3","Psychology","Yes","Female","Non-UKRN",1,1,0,1,1,0,0,0,1,4,0,NA,NA,0,0,1
837,"UNI69","Full-time","No","Year 1","4","Psychology ","No","Female ","Non-UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,NA,0,0,1
838,"UNI68","Full-time","Yes","Placement Year","4","Bsc Pcyhology with a placement year","Yes","female","Non-UKRN",1,0,1,0,0,0,0,1,1,3,1,0,1,1,0,1
839,"UNI68","Full-time","Yes","Final Year","4","Psychology with Neuroscience ","Yes","Female ","Non-UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,NA,0,0,1
840,"UNI68","Full-time","Yes","Placement Year","4","Psychology BSc","Yes","Female","Non-UKRN",1,0,0,1,0,1,1,0,1,4,0,NA,NA,1,0,1
841,"UNI68","Full-time","No","Year 1","3","Psychology with criminology ","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
842,"UNI68","Full-time","No","Final Year","4","Psychology (with foundation year)","Yes","Female","Non-UKRN",1,1,1,1,1,1,1,1,1,8,0,NA,NA,0,0,1
843,"UNI52","Full-time","Other (Please specify)","Year 1","3","BSc Psychology ","Yes","Female ","Non-UKRN",1,0,0,1,0,0,1,0,1,3,1,1,0,0,1,1
844,"UNI68","Full-time","No","Year 1","3","BSc Psychology with Criminology","Yes","Female","Non-UKRN",1,1,1,1,1,0,0,1,1,6,1,1,1,0,1,1
845,"UNI68","Full-time","No","Year 1","3","psychology bsc","Yes","female","Non-UKRN",1,0,0,0,1,0,1,0,1,3,1,1,0,0,0,1
846,"UNI68","Full-time","Other (Please specify)","Final Year","4","Psychology Bsc","Yes","male","Non-UKRN",1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
847,"UNI68","Full-time","Yes","Year 1","4","Psychology","No","Female ","Non-UKRN",1,1,1,1,1,1,1,0,1,7,1,1,1,1,0,1
848,"UNI68","Full-time","Yes","Placement Year","4","Bsc Psychology ","Yes","Female ","Non-UKRN",1,1,0,0,1,0,1,1,1,5,0,NA,NA,1,0,1
849,"UNI68","Full-time","No","Year 1","3","psychology","No","male","Non-UKRN",1,1,1,1,1,1,1,0,1,7,1,1,0,0,0,1
850,"UNI68","Full-time","Other (Please specify)","Placement Year","4","Psychology with business and management (with a year abroad in year 3)","Yes","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1
851,"UNI68","Full-time","Yes","Year 1","4","Psychology ","No","Female ","Non-UKRN",1,1,0,0,1,1,0,1,0,4,1,1,1,1,0,1
852,"UNI68","Full-time","No","Year 1","3","BSc Psychology with Neuroscience","No","female","Non-UKRN",1,1,1,0,1,1,0,0,0,4,1,1,0,1,1,1
853,"UNI68","Full-time","No","Year 2","3","Bsc Psychology ","Yes","Male","Non-UKRN",1,0,0,0,0,1,0,1,0,2,1,1,0,0,0,1
