"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","crisis_aware_Completed","crisis_learnt_Completed","crisis_explain_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed"
138,"UKRN01","Full-time","Yes","Year 2","4","Psychology Bsc","Yes","Female","UKRN",1,1,1,1,0,0,1,1,1,1,1,1,1
139,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,0,1,0,0,1,1,1
140,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,1,1,0,0,0,1,1,1,1,1,1,1
141,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
142,"UKRN01","Full-time","Yes","Year 2","4","BSc psychology ","Yes","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
143,"UKRN01","Full-time","No","Year 1","3","BSc Psychology ","Yes","Female ","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
144,"UKRN01","Full-time","Yes","Year 1","4","Psychology Bsc ","Yes","Male ","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
145,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","Female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
146,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,0,0,0,0,1,1,1,1,1,1,1
147,"UKRN01","Full-time","No","Year 2","3","Psychology ","Yes","Female","UKRN",1,0,NA,NA,0,1,0,1,0,0,1,1,1
148,"UKRN01","Full-time","Yes","Year 1","4","psychology bsc","Yes","female","UKRN",1,1,1,0,1,0,0,1,1,1,1,1,1
149,"UKRN01","Full-time","Yes","Placement Year","4","BSc Psychology","No","Female ","UKRN",1,1,1,1,1,1,1,1,1,1,1,1,1
150,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","female","UKRN",1,0,NA,NA,0,0,1,1,0,0,1,1,1
151,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,0,NA,NA,1,0,1,1,0,0,1,1,1
152,"UKRN01","Full-time","Yes","Year 1","4","Psychology BSc","Yes","F","UKRN",1,1,0,1,1,0,1,1,1,1,1,1,1
153,"UKRN01","Full-time","Yes","Placement Year","4","Psychology","Yes","Female","UKRN",1,0,NA,NA,0,1,1,1,0,0,1,1,1
